"FIPS","Qualifying Name","File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area – 5%File","Public Use Microdata Area - 1% File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Place (State FIPS + Place FIPS)","Median Household Income (In 2021 Inflation Adjusted Dollars)","Civilian Population 16 to 19 Years:","Civilian Population 16 to 19 Years: Not High School Graduate, Not Enrolled (Dropped Out)","Civilian Population 16 to 19 Years: High School Graduate, or Enrolled (In School)","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Total Population","Total Population: Not Hispanic or Latino","Total Population: Not Hispanic or Latino: White Alone","Total Population: Not Hispanic or Latino: Black or African American Alone","Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Not Hispanic or Latino: Asian Alone","Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Not Hispanic or Latino: Some Other Race Alone","Total Population: Not Hispanic or Latino: Two or More Races","Total Population: Hispanic or Latino","Total Population: Hispanic or Latino: White Alone","Total Population: Hispanic or Latino: Black or African American Alone","Total Population: Hispanic or Latino: American Indian and Alaska Native Alone","Total Population: Hispanic or Latino: Asian Alone","Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone","Total Population: Hispanic or Latino: Some Other Race Alone","Total Population: Hispanic or Latino: Two or More Races"
"17031030604","Census Tract 306.04, Cook County, Illinois","ACSSF","il","140","00","0006025",,,,,"17","031",,,"030604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031030604","Census Tract 306.04",,,,55093,52,0,52,2833,178,2655,2442,1840,905,168,96,3234,2896,1644,694,0,413,0,22,123,338,221,0,0,0,0,39,78
"17031030701","Census Tract 307.01, Cook County, Illinois","ACSSF","il","140","00","0006026",,,,,"17","031",,,"030701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031030701","Census Tract 307.01",,,,40357,42,26,16,1197,81,1116,912,553,194,40,22,1509,1362,701,504,0,136,0,0,21,147,66,7,0,20,0,54,0
"17031030702","Census Tract 307.02, Cook County, Illinois","ACSSF","il","140","00","0006027",,,,,"17","031",,,"030702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031030702","Census Tract 307.02",,,,66016,19,0,19,2061,59,2002,1734,1365,650,190,34,2323,2063,1267,53,0,707,0,19,17,260,145,0,0,0,0,34,81
"17031030703","Census Tract 307.03, Cook County, Illinois","ACSSF","il","140","00","0006028",,,,,"17","031",,,"030703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031030703","Census Tract 307.03",,,,51750,10,0,10,2672,253,2419,2062,1538,601,137,68,2995,2496,1756,443,0,179,0,0,118,499,124,80,0,0,0,80,215
"17031030706","Census Tract 307.06, Cook County, Illinois","ACSSF","il","140","00","0006029",,,,,"17","031",,,"030706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031030706","Census Tract 307.06",,,,58639,83,75,8,2565,172,2393,1997,1606,890,286,102,2720,2624,1646,457,0,460,0,0,61,96,85,0,0,0,0,11,0
"17031030800","Census Tract 308, Cook County, Illinois","ACSSF","il","140","00","0006030",,,,,"17","031",,,"030800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031030800","Census Tract 308",,,,87065,56,0,56,3402,140,3262,2992,2603,1527,441,88,4164,3507,2937,159,0,282,0,32,97,657,437,41,0,0,0,114,65
"17031030900","Census Tract 309, Cook County, Illinois","ACSSF","il","140","00","0006031",,,,,"17","031",,,"030900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031030900","Census Tract 309",,,,93093,74,11,63,2581,186,2395,2152,1838,851,223,94,3149,2757,2105,125,7,407,0,0,113,392,217,40,17,0,0,21,97
"17031031000","Census Tract 310, Cook County, Illinois","ACSSF","il","140","00","0006032",,,,,"17","031",,,"031000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031031000","Census Tract 310",,,,98929,81,0,81,2959,150,2809,2405,2063,959,205,111,3830,2919,2531,60,0,206,0,60,62,911,510,0,0,0,0,117,284
"17031031100","Census Tract 311, Cook County, Illinois","ACSSF","il","140","00","0006033",,,,,"17","031",,,"031100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031031100","Census Tract 311",,,,77672,13,0,13,3965,125,3840,3477,2707,1261,251,93,4685,4135,3259,315,0,284,0,0,277,550,327,0,0,20,0,137,66
"17031031200","Census Tract 312, Cook County, Illinois","ACSSF","il","140","00","0006034",,,,,"17","031",,,"031200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031031200","Census Tract 312",,,,29214,72,0,72,4536,1053,3483,2651,1731,637,355,203,5878,4517,1537,1970,17,877,0,0,116,1361,619,67,0,12,0,484,179
"17031031300","Census Tract 313, Cook County, Illinois","ACSSF","il","140","00","0006035",,,,,"17","031",,,"031300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031031300","Census Tract 313",,,,58828,131,0,131,6238,565,5673,5007,3052,1311,408,92,7237,6427,3726,1092,7,1325,0,0,277,810,483,22,0,39,0,202,64
"17031031400","Census Tract 314, Cook County, Illinois","ACSSF","il","140","00","0006036",,,,,"17","031",,,"031400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031031400","Census Tract 314",,,,80580,15,0,15,4336,133,4203,3951,3253,1266,359,129,4934,4439,3514,219,0,519,0,0,187,495,342,0,0,0,0,26,127
"17031031501","Census Tract 315.01, Cook County, Illinois","ACSSF","il","140","00","0006037",,,,,"17","031",,,"031501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031031501","Census Tract 315.01",,,,43416,147,0,147,3288,568,2720,2035,1489,513,156,47,4684,4030,1380,1699,0,827,0,12,112,654,221,16,10,0,0,353,54
"17031031502","Census Tract 315.02, Cook County, Illinois","ACSSF","il","140","00","0006038",,,,,"17","031",,,"031502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031031502","Census Tract 315.02",,,,40074,287,0,287,3269,399,2870,2233,1531,494,177,0,4878,4141,1632,2145,0,97,0,0,267,737,257,31,0,12,0,251,186
"17031031700","Census Tract 317, Cook County, Illinois","ACSSF","il","140","00","0006039",,,,,"17","031",,,"031700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031031700","Census Tract 317",,,,74615,68,0,68,5177,245,4932,4662,3733,1523,287,84,6355,5849,4472,902,49,339,0,5,82,506,204,9,0,0,0,160,133
"17031031800","Census Tract 318, Cook County, Illinois","ACSSF","il","140","00","0006040",,,,,"17","031",,,"031800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031031800","Census Tract 318",,,,76921,41,0,41,1532,16,1516,1376,1113,580,155,61,2014,1730,1139,92,0,264,0,0,235,284,120,0,1,0,0,114,49
"17031031900","Census Tract 319, Cook County, Illinois","ACSSF","il","140","00","0006041",,,,,"17","031",,,"031900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031031900","Census Tract 319",,,,87694,61,0,61,1983,56,1927,1827,1514,559,211,67,2599,2453,1904,263,0,146,0,17,123,146,111,0,9,0,0,26,0
"17031032100","Census Tract 321, Cook County, Illinois","ACSSF","il","140","00","0006042",,,,,"17","031",,,"032100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031032100","Census Tract 321",,,,68444,362,0,362,6257,722,5535,4836,3556,1603,168,0,7944,6374,4546,556,0,1125,0,0,147,1570,1101,0,81,12,0,336,40
"17031040100","Census Tract 401, Cook County, Illinois","ACSSF","il","140","00","0006043",,,,,"17","031",,,"040100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031040100","Census Tract 401",,,,90000,121,0,121,2994,236,2758,2366,1867,875,249,103,3982,3257,2662,327,0,111,0,0,157,725,292,44,0,0,0,286,103
"17031040201","Census Tract 402.01, Cook County, Illinois","ACSSF","il","140","00","0006044",,,,,"17","031",,,"040201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031040201","Census Tract 402.01",,,,91436,224,0,224,5491,240,5251,4493,3600,1371,333,86,6980,5592,4809,140,1,540,0,0,102,1388,471,9,0,0,0,573,335
"17031040202","Census Tract 402.02, Cook County, Illinois","ACSSF","il","140","00","0006045",,,,,"17","031",,,"040202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US17031040202","Census Tract 402.02",,,,48262,332,0,332,5388,732,4656,3444,2441,775,180,9,7726,5428,2535,393,0,1638,0,72,790,2298,913,0,181,131,0,603,470
